,STOCK,SMB,HML
1283,MSEX,-0.00227215,0.029465005
404,CNMD,0.35652272,0.028954834
2102,YPF,0.06609314,0.028536028
1257,MNDO,0.120367786,0.027935966
756,FMX,0.252451944,0.027929583
62,AKR,0.02735465,0.027927821
631,EPC,0.162979538,0.027456466
1388,NWE,0.114136032,0.026599133
782,FRT,-0.060115401,0.025959313
370,CINF,0.171614675,0.025796785
1005,IGT,-0.041108054,0.025017186
1540,PNNT,0.426787095,0.024639105
8,AB,0.109689816,0.024426636
1501,PGC,0.104329418,0.024383833
1691,SELF,0.108602558,0.024083636
715,FDBC,0.380587344,0.02381327
1411,ODP,0.315788917,0.023262703
1389,NWFL,-0.060378201,0.022350496
1743,SMFG,0.102103914,0.02170546
1093,KFFB,-0.138944947,0.021578335
173,BAH,0.285156831,0.020212255
1351,NNI,-0.028167094,0.019905719
350,CHE,0.299122893,0.019201522
2064,WMK,-0.119547328,0.019141464
2024,VVR,0.091051929,0.018944006
333,CECO,-0.313578593,0.018497027
775,FRBA,-0.373486731,0.018189749
182,BBVA,0.422012202,0.018026246
721,FEIM,-0.4267298,0.017327835
2025,VZ,-0.033583628,0.016891844
925,HIO,0.057872079,0.016336706
1904,TRV,0.092722403,0.015292344
1986,VBF,0.025471585,0.014959832
1833,TCBI,0.079428384,0.014874204
634,EPR,0.185528413,0.014487833
1978,UUUU,0.884704038,0.013783638
1879,TMUS,0.18071891,0.012940926
1546,POR,0.204299094,0.012870264
1187,MAIN,0.148075507,0.012753507
257,BRC,0.232382743,0.012436835
1114,KRG,0.118381236,0.011991243
1331,NFBK,-0.190418593,0.011927923
1464,PBHC,0.217912028,0.011160347
1771,SPTN,-0.198177074,0.011089538
1487,PEP,0.065875674,0.010895073
1355,NOC,0.347014796,0.010498486
1503,PGR,0.203528734,0.009768089
1299,MUFG,-0.001721803,0.009099503
1925,TX,0.569245127,0.008814571
981,HZO,0.266652438,0.008159345
1923,TWIN,0.62635428,0.007388903
409,CNS,-0.040391114,0.007075321
1423,OMC,0.140613613,0.00688485
1951,ULBI,0.263651286,0.005680573
1936,UBCP,0.085470374,0.005358771
1042,ITGR,0.353850747,0.004962441
1583,QCRH,-0.172001578,0.004523263
939,HNW,0.130073459,0.004445549
140,ATLO,0.040848611,0.004276971
266,BSL,0.075289183,0.002840976
663,ETR,0.078965313,0.002592822
461,CSV,0.037466747,0.002185116
1757,SO,-0.019040625,0.001656366
1065,JHI,0.023880166,0.001607623
1617,RGP,0.059670327,0.001267237
1514,PIPR,0.105367068,0.001091723
383,CLS,0.330027172,0.001057068
1555,PRDO,0.258813953,0.000877447
479,CVLG,0.220947282,0.000862431
701,FBMS,0.107744955,0.00043744
1905,TS,0.122537255,0.00043714
815,GDL,0.0928523,0.000395711
669,EVF,0.068021753,0.000367067
1867,TIPT,-0.580276243,-0.000471749
924,HIMX,0.343254798,-0.000734387
122,AROC,0.355544622,-0.000883543
688,EXPO,0.320818388,-0.001930567
2088,WTRG,0.080496756,-0.002093616
1156,LNN,0.295914287,-0.002701104
2084,WTBA,0.084865776,-0.00299834
789,FTNT,0.610781149,-0.004202253
205,BFIN,0.257120425,-0.004322713
1090,KEX,0.248004897,-0.004334361
1256,MMYT,0.242528305,-0.004424862
802,GAIN,0.055220007,-0.005135145
1059,JBT,0.105349203,-0.005531573
1878,TMP,0.076707644,-0.00588229
408,CNQ,0.175082458,-0.007549694
132,ASM,0.441997227,-0.007620086
2003,VLT,0.074408496,-0.007823767
297,CAKE,-0.083178523,-0.007838317
644,ERIE,-0.045474623,-0.007971708
46,AFT,0.083565502,-0.008001494
242,BMRC,0.025368528,-0.008562397
236,BLW,0.00426999,-0.009355992
416,COKE,0.029507324,-0.009962227
509,DCOM,-0.10543974,-0.010466962
313,CBOE,0.317826346,-0.010807122
1252,MMS,-0.021810645,-0.010812255
1600,RDCM,0.234387195,-0.011692196
1122,L,0.139534838,-0.011836267
1183,M,-0.208053759,-0.011941225
1297,MTRN,0.329701422,-0.012149427
329,CCRN,-0.058535681,-0.01229192
1706,SHEL,0.282433703,-0.014257492
616,EMD,0.126218117,-0.014880823
2014,VRSK,-0.002954985,-0.015257111
1060,JCE,0.226352477,-0.015662262
729,FFIN,0.070898582,-0.015803986
334,CEE,0.461301953,-0.016936124
1412,OFG,-0.258242296,-0.017077669
167,AYI,0.00320981,-0.01732811
253,BP,0.365683501,-0.01735416
712,FCO,0.089362617,-0.017555182
392,CME,0.240049711,-0.017783666
219,BHP,0.344006725,-0.018028046
470,CUBA,0.311962967,-0.018464589
518,DGICA,-0.209264141,-0.018791306
26,ADC,-0.038098571,-0.01882272
835,GHC,0.157625381,-0.018993174
1886,TOWN,-0.024208001,-0.019139622
576,EBF,0.173424763,-0.019164167
2038,WDS,0.285890538,-0.019223278
161,AWR,0.08126026,-0.019536705
569,DXPE,0.505362014,-0.020380698
215,BH,-0.152573991,-0.020494151
1052,JACK,0.141154822,-0.021468364
718,FDUS,-0.031298068,-0.021597508
124,ARTNA,-0.084799258,-0.022218753
994,IDA,0.10381595,-0.022374607
60,AJG,0.273737972,-0.022586619
1563,PRMW,0.457522286,-0.022795649
2082,WST,0.154697435,-0.022895944
29,ADM,-0.001167715,-0.022934717
1072,JMM,0.077780966,-0.023247916
515,DEO,0.341232736,-0.023812709
1196,MATX,-0.032466602,-0.024065285
1801,STRL,0.153478442,-0.024449698
1638,ROP,0.187054136,-0.024629669
1854,TGH,0.274184378,-0.024992799
937,HNNA,-0.297514928,-0.025132129
1959,UNM,0.177466126,-0.025272714
348,CHD,-0.052762076,-0.026209397
1506,PHD,0.03865438,-0.027346985
1012,IMAX,0.064226824,-0.027427237
1280,MSB,0.664378359,-0.027450226
1203,MCK,0.116044412,-0.027527253
1044,ITIC,0.145738547,-0.027664509
170,AZZ,-0.074029805,-0.027794716
632,EPD,0.018405404,-0.028014574
1028,IOR,-0.123884095,-0.028510971
346,CHCI,0.083708907,-0.028809075
2034,WCC,0.405425767,-0.029056129
272,BUD,0.119651499,-0.029211058
869,GPN,0.326548097,-0.029834922
71,ALKS,-0.133262106,-0.029940474
2068,WNEB,-0.065105704,-0.03016496
1446,OVLY,0.274447797,-0.030495451
41,AEO,-0.274090185,-0.031540813
1486,PEO,0.152403362,-0.031575261
787,FTF,-0.02058148,-0.031774175
1335,NGS,-0.043124405,-0.032159865
713,FCT,0.027684896,-0.032191583
647,ESCA,-0.07222072,-0.032271067
765,FOF,0.042957526,-0.032669511
531,DIS,0.034124281,-0.032673469
878,GRVY,0.424116371,-0.032740274
579,EBTC,-0.117677467,-0.032797579
1099,KIM,0.11242519,-0.032823152
195,BCX,0.22329295,-0.033396594
638,EQNR,0.431363137,-0.033435733
1272,MPV,0.068426406,-0.033465921
425,CPA,0.25187571,-0.033469764
1990,VECO,-0.276632666,-0.033616053
1344,NKE,-0.192464694,-0.03381757
1665,SATS,0.199796266,-0.034777627
1204,MCN,0.050106379,-0.034877235
1103,KMB,-0.125182582,-0.03566727
340,CF,0.325529664,-0.03665284
484,CW,0.154644339,-0.036996046
542,DMLP,-0.004837291,-0.03704642
1850,TFII,0.239315292,-0.038288694
1621,RICK,0.493794004,-0.038388552
757,FMY,-0.052927014,-0.038396518
1644,RSG,0.058126814,-0.038832661
1790,STC,0.106376284,-0.039030233
2104,ZBH,-0.145327333,-0.039203642
150,AVA,0.260163414,-0.039745566
1226,MFV,0.077610131,-0.039899088
745,FLO,-0.07481142,-0.040694065
1875,TLK,-0.007119337,-0.041253457
378,CLH,0.115556249,-0.041380162
356,CHRW,0.047246845,-0.041607877
899,HBCP,-0.066675913,-0.04192958
1108,KO,0.037223522,-0.042350004
393,CMG,-0.162973475,-0.042365575
2039,WEA,0.001769751,-0.042813387
566,DVN,0.033619911,-0.043188712
517,DG,-0.003350808,-0.043283407
349,CHDN,0.314494434,-0.043515555
876,GRMN,0.020661672,-0.043552419
957,HSII,-0.160465464,-0.043788318
1741,SMBK,0.069818958,-0.043819986
1327,NEN,0.003062858,-0.044000375
318,CBU,-0.071020653,-0.044085741
74,ALRS,-0.037700666,-0.04410562
373,CL,0.001527342,-0.044492975
810,GBR,-0.552091826,-0.044493681
322,CCEP,0.304397633,-0.044740539
1243,MKC,0.100091577,-0.045058451
2097,XOM,-0.030305635,-0.045250157
505,DB,0.263401545,-0.045427505
315,CBRL,-0.082643211,-0.045466504
1379,NUW,-0.086973981,-0.046685221
1760,SON,0.10659103,-0.046738924
593,EFT,-0.040052866,-0.048125293
2027,WABC,0.090529384,-0.049061766
975,HWBK,-0.294986733,-0.049409304
1468,PCF,0.031705539,-0.049505171
434,CPRX,-0.375966346,-0.049519755
69,ALGT,-0.41212978,-0.049734892
269,BTE,0.272474088,-0.049881332
1740,SMBC,-0.048950356,-0.050219756
47,AGCO,0.467056208,-0.05068512
1658,SAN,0.256230365,-0.051036067
248,BOH,-0.060624768,-0.051176025
1695,SEVN,0.039509858,-0.051633118
193,BCPC,-0.276043892,-0.051983625
1627,RLJ,0.024725979,-0.052001217
213,BGX,0.002315324,-0.052267469
716,FDP,-0.245271576,-0.052360892
643,ERF,0.403756225,-0.052402622
1381,NVEC,-0.006961746,-0.052884385
1474,PCQ,-0.113515006,-0.052889979
1641,RPT,0.08009697,-0.053068053
928,HLF,0.840655456,-0.053193358
261,BRO,0.346206794,-0.053877424
988,IBN,0.327517149,-0.054081267
843,GIM,0.04053506,-0.054824396
396,CMRE,-0.26483019,-0.055467546
1946,UGP,0.125984923,-0.055484999
1378,NUV,-0.075188487,-0.055693577
222,BIIB,0.189335908,-0.056867315
1171,LTC,-0.013294053,-0.057530678
1482,PEBK,0.090730173,-0.057606319
103,AON,0.106844137,-0.057639018
1913,TSRI,0.41039623,-0.05771426
198,BDL,0.119636382,-0.058973802
59,AIZ,-0.033994646,-0.06001773
622,ENB,-0.057389967,-0.060187046
1386,NVS,0.035410071,-0.060197901
2057,WIW,-0.057323053,-0.060287717
2032,WBA,-0.060600824,-0.060609277
1818,SYBT,-0.202577852,-0.060956566
1532,PMO,-0.15499758,-0.061522595
1153,LMNR,-0.039483711,-0.061608154
845,GL,0.160477425,-0.062248972
125,ARTW,-0.37584187,-0.062751723
1314,NATH,-0.294061198,-0.063262986
1485,PEG,0.007034048,-0.063324937
621,EMR,0.164413303,-0.064381261
1922,TWI,0.382017435,-0.064427692
116,ARCO,0.149586044,-0.065104687
319,CBZ,0.108863086,-0.065439139
980,HYT,0.049607806,-0.065871641
798,FXNC,-0.247548199,-0.066231929
1124,LAKE,-0.146092472,-0.066792375
27,ADEA,-0.055333532,-0.067301007
978,HXL,0.15999243,-0.067389606
642,ERC,-0.039721824,-0.067949315
120,ARLP,-0.07603331,-0.068315513
43,AER,0.30651961,-0.068387036
371,CIVB,-0.222968671,-0.068437516
237,BLX,0.102403879,-0.068606432
577,EBMT,-0.234678569,-0.06985346
705,FCAP,-0.210561874,-0.07003164
1476,PCYO,-0.100011417,-0.070032417
2044,WEX,0.252093771,-0.070048814
918,HHS,-0.069638543,-0.07024255
1910,TSI,-0.036514385,-0.070362996
239,BME,-0.080822464,-0.070394695
142,ATR,0.114653354,-0.070736452
628,EOG,0.017743943,-0.070747112
1613,RGA,0.01710658,-0.070922844
66,ALE,0.201418894,-0.071235546
717,FDS,-0.063075006,-0.071685283
2062,WM,-0.01043032,-0.071813891
883,GSL,0.236603031,-0.072282669
813,GD,0.335443738,-0.07241709
462,CSWC,0.017728329,-0.072429744
2017,VRTX,-0.022009424,-0.072864309
480,CVLY,-0.352161955,-0.073343852
1337,NHI,-0.007433084,-0.073824835
1260,MNST,0.245785551,-0.073930762
522,DHF,0.055633031,-0.073976498
1251,MMC,0.064540166,-0.073998243
1342,NIM,-0.06066488,-0.074273197
1229,MGF,-0.128946136,-0.07438799
1445,OVBC,0.112617209,-0.074595343
605,EIM,-0.187187939,-0.074953841
670,EVG,-0.047874681,-0.075478379
1377,NUS,0.428964846,-0.075804867
1395,NXP,-0.122442416,-0.076227318
1387,NWBI,-0.138352882,-0.076725311
881,GSBC,-0.180426596,-0.076744542
1391,NWN,-0.045990038,-0.07755873
1562,PRK,0.074022248,-0.077893296
1672,SBI,-0.109096309,-0.077946803
212,BGT,-0.020729739,-0.078173108
1639,ROST,-0.064341966,-0.078483246
1831,TBBK,0.555944346,-0.078515928
1958,UNH,0.235142873,-0.078752688
